episode,epsilon,total_reward
750.0,0.27497499166388795,8.0
751.0,0.2748749583194398,8.0
752.0,0.2747749249749917,-9.0
753.0,0.27467489163054354,-9.0
754.0,0.27457485828609535,9.0
755.0,0.2744748249416472,10.0
756.0,0.2743747915971991,-9.0
757.0,0.27427475825275094,9.0
758.0,0.27417472490830275,-10.0
759.0,0.2740746915638546,-8.0
760.0,0.2739746582194065,-11.0
761.0,0.27387462487495834,-9.0
762.0,0.27377459153051015,8.0
763.0,0.273674558186062,8.0
764.0,0.2735745248416139,-8.0
765.0,0.27347449149716574,-10.0
766.0,0.27337445815271755,8.0
767.0,0.2732744248082694,7.0
768.0,0.2731743914638213,-9.0
769.0,0.27307435811937314,-11.0
770.0,0.27297432477492495,-8.0
771.0,0.2728742914304768,8.0
772.0,0.2727742580860287,8.0
773.0,0.27267422474158054,-10.0
774.0,0.27257419139713235,-10.0
775.0,0.2724741580526842,7.0
776.0,0.2723741247082361,8.0
777.0,0.27227409136378794,-8.0
778.0,0.27217405801933975,-8.0
779.0,0.27207402467489167,7.0
780.0,0.2719739913304435,8.0
781.0,0.27187395798599534,8.0
782.0,0.27177392464154715,-8.0
783.0,0.27167389129709907,-8.0
784.0,0.2715738579526509,-8.0
785.0,0.27147382460820274,-10.0
786.0,0.27137379126375455,-10.0
787.0,0.27127375791930647,8.0
788.0,0.2711737245748583,8.0
789.0,0.27107369123041014,8.0
790.0,0.27097365788596195,-10.0
791.0,0.27087362454151387,-4.0
792.0,0.2707735911970657,-9.0
793.0,0.27067355785261754,7.0
794.0,0.2705735245081694,-11.0
